Property name,property info,price range,flat_details,Average price,facing,Build up area,Posession date
Adarsh homes Dwarka mor,2 BHK Flat for sale in Dwarka Mor,₹32.0 L,,₹5.71 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹22.0 L,,₹5.5 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,3 BHK Flat for sale in Dwarka Mor,₹60.0 L,,₹6.52 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,3 BHK Flat for sale in Dwarka Mor,₹60.0 L,,₹6.52 K/sq.ft,,None sq.ft,
Vipin Garden,4 BHK Independent Builder Floor for sale in Dwarka Mor,₹58.0 L,,₹5.16 K/sq.ft,,None sq.ft,
ndependent Floor,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹30.0 L,,₹4.0 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹26.0 L,,₹4.33 K/sq.ft,North,None sq.ft,
Swastik Affordable Homes,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹26.0 L,,₹4.81 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹46.0 L,,₹5.11 K/sq.ft,South-east,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹32.0 L,,₹5.33 K/sq.ft,South-east,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹46.0 L,,₹4.84 K/sq.ft,North,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹30.0 L,,₹5.56 K/sq.ft,East,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹53.0 L,,₹5.89 K/sq.ft,South-west,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹52.0 L,,₹6.42 K/sq.ft,South-west,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹55.0 L,,₹6.79 K/sq.ft,South-west,None sq.ft,
Green Valley Homes,2 BHK Flat for sale in Dwarka Mor,₹27.5 L,,₹5.0 K/sq.ft,,None sq.ft,
Green Valley Homes,2 BHK Flat for sale in Dwarka Mor,₹31.5 L,,₹5.73 K/sq.ft,,None sq.ft,
Green Valley Homes,3 BHK Flat for sale in Dwarka Mor,₹65.0 L,,₹7.22 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹55.0 L,,₹6.11 K/sq.ft,East,None sq.ft,
,4 BHK Independent Builder Floor for sale in Dwarka Mor,₹66.0 L,,₹5.5 K/sq.ft,South-east,None sq.ft,
Green Valley Affordables And Luxury Homes,2 BHK Flat for sale in Dwarka Mor,₹27.0 L,,₹4.91 K/sq.ft,,None sq.ft,
Green Valley Homes,3 BHK Flat for sale in Dwarka Mor,₹41.0 L,,₹5.06 K/sq.ft,,None sq.ft,
,4 BHK Independent Builder Floor for sale in Dwarka Mor,₹65.0 L,,₹5.65 K/sq.ft,North,None sq.ft,
Green Valley Homes 1 by Green Valley,3 BHK Flat for sale in Dwarka Mor,₹50.0 L,,₹5.56 K/sq.ft,,None sq.ft,
Green Valley Homes,4 BHK Flat for sale in Dwarka Mor,₹65.0 L,,₹5.42 K/sq.ft,,None sq.ft,
,S Gambhir The Ayodhya,₹25 L - 45 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,585.0 sq.ft,"May, 2022"
,Adarsh Affordables And Luxury Homes,₹25.0 L - 60.0 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,450.0 sq.ft,"Aug, 2020"
,The Amaravathy3,₹23.0 L - 45.0 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,560.0 sq.ft,"Apr, 2023"
,Chanchal Homes 25RERA,₹24.5 L - 60.0 L,"2, 3 BHK Flats for sale in Dwarka Mor",₹None K/sq.ft,,650.0 sq.ft,"Dec, 2021"
